2023|1|1|7|45|56|1|0|David Bowie|Modern Love  (2018 Remaster)|Let's Dance |1
2023|1|1|7|50|30|0|0|B.B. King|The Thrill Is Gone|Completely Well|1
2023|1|1|7|55|50|0|0|Vance Joy|Fire and the Flood|Dream Your Life Away |1
2023|1|1|7|59|57|0|0||||1
2023|1|1|8|0|9|0|0|Rav-E|Pachian Pindan Da ASG|The Expanse - The Collector’s Edition|1
2023|1|1|8|3|42|0|0|CAKE|The Distance|Fashion Nugget (Deluxe Edition)|1
2023|1|1|8|6|36|0|0|Sting|Fields Of Gold|Ten Summoner's Tales|2
2023|1|1|8|10|8|0|1|CHVRCHES|Recover|The Bones of What You Believe|1
2023|1|1|8|13|48|1|1|Bishop Briggs|River|Bishop Briggs|1
2023|1|1|8|17|19|0|0|Shiny Toy Guns|Le Disko (Radio Edit)|We Are Pilots|1
2023|1|1|8|20|38|0|0|Billy Squier|Emotions In Motion|Emotions In Motion|1
2023|1|1|8|25|38|1|0|AWOLNATION|Not Your Fault|Megalithic Symphony |1
2023|1|1|8|29|31|1|0||||1
2023|1|1|8|29|47|1|0|Otis Redding|Hard to Handle  (2020 Remaster II)|The Best Of Otis Redding|1
2023|1|1|8|32|2|0|0|Tesla (Band)|Signs (Live At The Trocadero / 1990)|Time's Makin' Changes: The Best Of Tesla|1
2023|1|1|8|35|12|0|0||||1
2023|1|1|8|35|19|0|0|Ellie Goulding|Lights (Single Version)|Halcyon|1
2023|1|1|8|38|40|1|0||||2
2023|1|1|8|38|50|1|0|Housewife|I'm Spent|I'm Spent|2
2023|1|1|8|41|14|1|0|La Bouche|Sweet Dreams|Best Of La Bouche feat. Melanie Thornton|2
2023|1|1|8|44|32|0|1|John Lennon|Imagine (Ultimate Mix)|Imagine|2
2023|1|1|8|47|29|1|0|Vince Guaraldi Trio|Cast Your Fate To The Wind (Album Version)|The Definitive Vince Guaraldi|2
2023|1|1|8|50|30|0|0|Johnny Gill|Rub You The Right Way|Johnny Gill|3
2023|1|1|8|55|54|0|0||||4
2023|1|1|8|56|4|0|0|Jade|Don't Walk Away (Album Version)|Jade To The Max|4
2023|1|1|8|59|35|1|0|The Four Seasons|December, 1963 (Oh What a Night!) (LP Version)|The Very Best of Frankie Valli & The 4 Seasons|4
2023|1|1|9|2|49|0|0|Hailee Steinfeld f./Anderson .Paak|Coast|Mainstream Radio December 2022|3
2023|1|1|9|5|32|1|0|The Toucans Steel Drum Band|Cantina Band|The Best Of The Toucans|4
2023|1|1|9|10|13|0|0|Human League|(Keep Feeling) Fascination (Remastered)|The Very Best Of The Human League|3
2023|1|1|9|13|50|1|0|Diana Krall|California Dreamin'|Wallflower|3
2023|1|1|9|16|59|0|0|Aly & AJ|Potential Breakup Song|Insomniatic|3
2023|1|1|9|20|34|0|0|I See Stars|Violent Bounce (Razihel Remix)|New Demons|3
2023|1|1|9|24|51|0|0||||4
2023|1|1|9|25|1|0|0|Jessie J|Price Tag|Who You Are|4
2023|1|1|9|28|40|0|0|Tears For Fears|Head Over Heels / Broken|Songs From The Big Chair|3
2023|1|1|9|33|41|0|0|Fergie|Clumsy (Album Version)|The Dutchess Deluxe|4
2023|1|1|9|37|41|0|0||||3
2023|1|1|9|37|50|0|0|The Police|Every Little Thing She Does Is Magic (Remastered 2003)|Ghost In The Machine|3
2023|1|1|9|42|2|0|0|Megadeth|We’ll Be Back|The Sick, The Dying… And The Dead!|2
2023|1|1|9|46|25|0|0||||2
2023|1|1|9|46|36|0|0|Rufus|Ain't Nobody (Album Version)|Stompin' At The Savoy|2
